sr,roll_no,ct,se,marks
12,21BCE013,30,35,65.0
41,21BCE043,27,35,62.0
68,21BCE077,29,33,62.0
6,21BCE007,26,35,61.0
8,21BCE009,30,31,61.0
17,21BCE019,28,33,61.0
9,21BCE010,26,34,60.0
65,21BCE074,25,35,60.0
27,21BCE029,25,33,58.0
19,21BCE021,24,33,57.0
28,21BCE030,26,31,57.0
42,21BCE044,27,30,57.0
47,21BCE052,25,32,57.0
58,21BCE064,25,32,57.0
23,21BCE025,26,30,56.0
30,21BCE032,21,35,56.0
37,21BCE039,21,35,56.0
45,21BCE049,23,33,56.0
3,21BCE003,25,30,55.0
57,21BCE063,25,30,55.0
15,21BCE016,21,33,54.0
39,21BCE041,24,30,54.0
55,21BCE061,23,30,53.0
63,21BCE070,23,30,53.0
72,21BCE082,24,29,53.0
7,21BCE008,18,34,52.0
10,21BCE011,25,27,52.0
20,21BCE022,18,34,52.0
67,21BCE076,22,30,52.0
50,21BCE055,21,30,51.0
79,22BCE507,17,34,51.0
1,21BCE001,21,29,50.0
66,21BCE075,20,30,50.0
11,21BCE012,24,25,49.0
14,21BCE015,19,30,49.0
22,21BCE024,19,30,49.0
49,21BCE054,19,30,49.0
38,21BCE040,18,30,48.0
48,21BCE053,19,29,48.0
4,21BCE005,16,31,44.0
26,21BCE028,15,32,47.0
31,21BCE033,22,25,47.0
54,21BCE060,18,29,47.0
62,21BCE069,18,29,47.0
70,21BCE079,19,28,47.0
21,21BCE023,15,31,46.0
25,21BCE027,22,24,46.0
34,21BCE036,14,32,46.0
60,21BCE067,14,32,46.0
69,21BCE078,15,31,46.0
16,21BCE017,18,27,45.0
36,21BCE038,17,28,45.0
76,22BCE504,14,31,45.0
13,21BCE014,27,17,44.0
44,21BCE047,14,30,44.0
46,21BCE050,16,28,44.0
56,21BCE062,16,28,44.0
64,21BCE073,16,28,44.0
59,21BCE065,11,30,41.0
5,21BCE006,20,20,40.0
61,21BCE068,14,26,40.0
78,22BCE506,11,29,40.0
83,22BCE511,18,22,40.0
51,21BCE056,12,27,39.0
43,21BCE046,9,29,38.0
52,21BCE058,11,27,38.0
82,22BCE510,5,33,38.0
2,21BCE002,21,16,37.0
35,21BCE037,8,29,37.0
75,22BCE503,8,29,37.0
29,21BCE031,14,22,36.0
73,22BCE501,10,26,36.0
53,21BCE059,9,26,35.0
74,22BCE502,11,24,35.0
32,21BCE034,11,22,33.0
77,22BCE505,7,21,28.0
24,21BCE026,6,21,27.0
71,21BCE081,7,20,27.0
33,21BCE035,6,18,24.0
84,22BCE512,4,19,23.0
81,22BCE509,5,16,21.0
18,21BCE020,2,18,20.0
40,21BCE042,7,13,20.0
80,22BCE508,1,15,16.0
